HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Italie,Union soviétique,1968,0,0,0
Yougoslavie,Angleterre,1968,1,0,1
Angleterre,Union soviétique,1968,2,0,2
Italie,Yougoslavie,1968,1,1,2
Italie,Yougoslavie,1968,2,0,2
Union soviétique,Hongrie,1972,1,0,1
Belgique,Allemagne,1972,1,2,3
Hongrie,Belgique,1972,1,2,3
Allemagne,Union soviétique,1972,3,0,3
Tchécoslovaquie,Pays-Bas,1976,3,1,4
Allemagne,Yougoslavie,1976,4,2,6
Pays-Bas,Yougoslavie,1976,3,2,5
Tchécoslovaquie,Allemagne,1976,2,2,4
Allemagne,Tchécoslovaquie,1980,1,0,1
Grèce,Pays-Bas,1980,0,1,1
Allemagne,Pays-Bas,1980,3,2,5
Tchécoslovaquie,Grèce,1980,3,1,4
Pays-Bas,Tchécoslovaquie,1980,1,1,2
Allemagne,Grèce,1980,0,0,0
Belgique,Angleterre,1980,1,1,2
Espagne,Italie,1980,0,0,0
Belgique,Espagne,1980,2,1,3
Italie,Angleterre,1980,1,0,1
Angleterre,Espagne,1980,2,1,3
Italie,Belgique,1980,0,0,0
Italie,Tchécoslovaquie,1980,1,1,2
Allemagne,Belgique,1980,2,1,3
France,Danemark,1984,1,0,1
Belgique,Yougoslavie,1984,2,0,2
France,Belgique,1984,5,0,5
Danemark,Yougoslavie,1984,5,0,5
France,Yougoslavie,1984,3,2,5
Danemark,Belgique,1984,3,2,5
Portugal,Allemagne,1984,0,0,0
Espagne,Roumanie,1984,1,1,2
Allemagne,Roumanie,1984,2,1,3
Espagne,Portugal,1984,1,1,2
Espagne,Allemagne,1984,1,0,1
Portugal,Roumanie,1984,1,0,1
France,Portugal,1984,3,2,5
Espagne,Danemark,1984,1,1,2
France,Espagne,1984,2,0,2
Allemagne,Italie,1988,1,1,2
Danemark,Espagne,1988,2,3,5
Allemagne,Danemark,1988,2,0,2
Italie,Espagne,1988,1,0,1
Allemagne,Espagne,1988,2,0,2
Italie,Danemark,1988,2,0,2
Angleterre,Irlande,1988,0,1,1
Pays-Bas,Union soviétique,1988,0,1,1
Angleterre,Pays-Bas,1988,1,3,4
Irlande,Union soviétique,1988,1,1,2
Angleterre,Union soviétique,1988,1,3,4
Irlande,Pays-Bas,1988,0,1,1
Allemagne,Pays-Bas,1988,1,2,3
Union soviétique,Italie,1988,2,0,2
Pays-Bas,Union soviétique,1988,2,0,2
Suède,France,1992,1,1,2
Danemark,Angleterre,1992,0,0,0
Angleterre,France,1992,0,0,0
Suède,Danemark,1992,1,0,1
Suède,Angleterre,1992,2,1,3
Danemark,France,1992,2,1,3
Pays-Bas,Écosse,1992,1,0,1
CEI,Allemagne,1992,1,1,2
Allemagne,Écosse,1992,2,0,2
Pays-Bas,CEI,1992,0,0,0
Pays-Bas,Allemagne,1992,3,1,4
Écosse,CEI,1992,3,0,3
Suède,Allemagne,1992,2,3,5
Danemark,Pays-Bas,1992,2,2,4
Allemagne,Danemark,1992,0,2,2
Angleterre,Suisse,1996,1,1,2
Pays-Bas,Écosse,1996,0,0,0
Suisse,Pays-Bas,1996,0,2,2
Écosse,Angleterre,1996,0,2,2
Écosse,Suisse,1996,1,0,1
Pays-Bas,Angleterre,1996,1,4,5
Espagne,Bulgarie,1996,1,1,2
Roumanie,France,1996,0,1,1
Bulgarie,Roumanie,1996,1,0,1
France,Espagne,1996,1,1,2
France,Bulgarie,1996,3,1,4
Roumanie,Espagne,1996,1,2,3
Allemagne,Tchéquie,1996,2,0,2
Italie,Russie,1996,2,1,3
Tchéquie,Italie,1996,2,1,3
Russie,Allemagne,1996,0,3,3
Russie,Tchéquie,1996,3,3,6
Italie,Allemagne,1996,0,0,0
Danemark,Portugal,1996,1,1,2
Turquie,Croatie,1996,0,1,1
Portugal,Turquie,1996,1,0,1
Croatie,Danemark,1996,3,0,3
Croatie,Portugal,1996,0,3,3
Turquie,Danemark,1996,0,3,3
Espagne,Angleterre,1996,0,0,0
France,Pays-Bas,1996,0,0,0
Allemagne,Croatie,1996,2,1,3
Tchéquie,Portugal,1996,1,0,1
France,Tchéquie,1996,0,0,0
Allemagne,Angleterre,1996,1,1,2
Allemagne,Tchéquie,1996,2,1,3
Allemagne,Roumanie,2000,1,1,2
Portugal,Angleterre,2000,3,2,5
Roumanie,Portugal,2000,0,1,1
Angleterre,Allemagne,2000,1,0,1
Angleterre,Roumanie,2000,2,3,5
Portugal,Allemagne,2000,3,0,3
Belgique,Suède,2000,2,1,3
Turquie,Italie,2000,1,2,3
Italie,Belgique,2000,2,0,2
Suède,Turquie,2000,0,0,0
Turquie,Belgique,2000,2,0,2
Italie,Suède,2000,2,1,3
Espagne,Norvège,2000,0,1,1
Yougoslavie,Slovénie,2000,3,3,6
Slovénie,Espagne,2000,1,2,3
Norvège,Yougoslavie,2000,0,1,1
Yougoslavie,Espagne,2000,3,4,7
Slovénie,Norvège,2000,0,0,0
France,Danemark,2000,3,0,3
Pays-Bas,Tchéquie,2000,1,0,1
Tchéquie,France,2000,1,2,3
Danemark,Pays-Bas,2000,0,3,3
Danemark,Tchéquie,2000,0,2,2
France,Pays-Bas,2000,2,3,5
Portugal,Turquie,2000,2,0,2
Italie,Roumanie,2000,2,0,2
Pays-Bas,Yougoslavie,2000,6,1,7
Espagne,France,2000,1,2,3
Portugal,France,2000,1,2,3
Italie,Pays-Bas,2000,0,0,0
France,Italie,2000,2,1,3
Portugal,Grèce,2004,0,1,1
Portugal,Allemagne,2008,2,3,5
Croatie,Turquie,2008,1,1,2
Pays-Bas,Russie,2008,1,3,4
Espagne,Italie,2008,0,0,0
Allemagne,Turquie,2008,3,2,5
Russie,Espagne,2008,0,3,3
Allemagne,Espagne,2008,0,1,1
Pologne,Grèce,2012,1,1,2
Russie,Tchéquie,2012,4,1,5
Grèce,Tchéquie,2012,1,2,3
Pologne,Russie,2012,1,1,2
Tchéquie,Pologne,2012,1,0,1
Grèce,Russie,2012,1,0,1
Tchéquie,Portugal,2012,0,1,1
