home,score,away,year
Allemagne ,Match d'ouverture, Écosse,2024
Hongrie ,Match 2, Suisse,2024
Écosse ,Match 13, Suisse,2024
Allemagne ,Match 14, Hongrie,2024
Suisse ,Match 25, Allemagne,2024
Écosse ,Match 26, Hongrie,2024
Espagne ,Match 3, Croatie,2024
Italie ,Match 4, Albanie,2024
Croatie ,Match 15, Albanie,2024
Espagne ,Match 16, Italie,2024
Albanie ,Match 27, Espagne,2024
Croatie ,Match 28, Italie,2024
Slovénie ,Match 5, Danemark,2024
Serbie ,Match 6, Angleterre,2024
Danemark ,Match 17, Angleterre,2024
Slovénie ,Match 18, Serbie,2024
Angleterre ,Match 29, Slovénie,2024
Danemark ,Match 30, Serbie,2024
Pologne ,Match 7, Pays-Bas,2024
Autriche ,Match 8, France,2024
Pologne ,Match 19, Autriche,2024
Pays-Bas ,Match 20, France,2024
Pays-Bas ,Match 31, Autriche,2024
France ,Match 32, Pologne,2024
Belgique ,Match 9, Slovaquie,2024
Roumanie ,Match 10, Ukraine,2024
Slovaquie ,Match 21, Ukraine,2024
Belgique ,Match 22, Roumanie,2024
Slovaquie ,Match 33, Roumanie,2024
Ukraine ,Match 34, Belgique,2024
Turquie ,Match 11, Géorgie,2024
Portugal ,Match 12, Tchéquie,2024
Turquie ,Match 23, Portugal,2024
Géorgie ,Match 24, Tchéquie,2024
Géorgie ,Match 35, Portugal,2024
Tchéquie ,Match 36, Turquie,2024
1A ,Match 37, 2C,2024
2A ,Match 38, 2B,2024
1B ,Match 39, 3A/D/E/F,2024
1C ,Match 40, 3D/E/F,2024
1F ,Match 41, 3A/B/C,2024
2D ,Match 42, 2E,2024
1E ,Match 43, 3A/B/C/D,2024
1D ,Match 44, 2F,2024
W39 ,Match 45, W37,2024
W41 ,Match 46, W42,2024
W43 ,Match 47, W44,2024
W40 ,Match 48, W38,2024
W45 ,Match 49, W46,2024
W47 ,Match 50, W48,2024
W49 ,Match 51, W50,2024
