home,score,away,year
Italie ,0 - 0 a. p., Union soviétique,1968
Yougoslavie ,1 - 0, Angleterre,1968
Angleterre ,2 - 0, Union soviétique,1968
Italie ,1 - 1 a. p., Yougoslavie,1968
Italie ,2 - 0, Yougoslavie,1968
Union soviétique ,1 - 0, Hongrie,1972
Belgique ,1 - 2, Allemagne de l'Ouest,1972
 Hongrie,1 - 2,Belgique ,1972
Allemagne de l'Ouest ,3 - 0, Union soviétique,1972
Tchécoslovaquie ,3 – 1a.p., Pays-Bas,1976
Allemagne de l'Ouest ,4 – 2a.p., Yougoslavie,1976
Pays-Bas ,3 – 2a.p., Yougoslavie,1976
Tchécoslovaquie ,2 - 2a.p., Allemagne de l'Ouest,1976
Allemagne de l'Ouest ,1 – 0, Tchécoslovaquie,1980
Grèce ,0 – 1, Pays-Bas,1980
Allemagne de l'Ouest ,3 – 2, Pays-Bas,1980
Tchécoslovaquie ,3 – 1, Grèce,1980
Pays-Bas ,1 – 1, Tchécoslovaquie,1980
Allemagne de l'Ouest ,0 – 0, Grèce,1980
Belgique ,1 – 1, Angleterre,1980
Espagne ,0 – 0, Italie,1980
Belgique ,2 – 1, Espagne,1980
Italie ,1 – 0, Angleterre,1980
Angleterre ,2 – 1, Espagne,1980
Italie ,0 – 0, Belgique,1980
Italie ,1 – 1, Tchécoslovaquie,1980
Allemagne de l'Ouest ,2 – 1, Belgique,1980
France ,1 – 0, Danemark,1984
Belgique ,2 – 0, Yougoslavie,1984
France ,5 – 0, Belgique,1984
Danemark ,5 – 0, Yougoslavie,1984
France ,3 – 2, Yougoslavie,1984
Danemark ,3 – 2, Belgique,1984
Portugal ,0 – 0, Allemagne de l'Ouest,1984
Espagne ,1 – 1, Roumanie,1984
Allemagne de l'Ouest ,2 – 1, Roumanie,1984
Espagne ,1 – 1, Portugal,1984
Espagne ,1 – 0, Allemagne de l'Ouest,1984
Portugal ,1 – 0, Roumanie,1984
France ,3 - 2a.p., Portugal,1984
Espagne ,1 - 1a.p., Danemark,1984
France ,2 - 0, Espagne,1984
Allemagne de l'Ouest ,1 – 1, Italie,1988
Danemark ,2 – 3, Espagne,1988
Allemagne de l'Ouest ,2 – 0, Danemark,1988
Italie ,1 – 0, Espagne,1988
Allemagne de l'Ouest ,2 – 0, Espagne,1988
Italie ,2 – 0, Danemark,1988
Angleterre ,0 – 1, République d'Irlande,1988
Pays-Bas ,0 – 1, Union soviétique,1988
Angleterre ,1 - 3, Pays-Bas,1988
République d'Irlande ,1 – 1, Union soviétique,1988
Angleterre ,1 – 3, Union soviétique,1988
République d'Irlande ,0 – 1, Pays-Bas,1988
Allemagne de l'Ouest ,1 - 2, Pays-Bas,1988
Union soviétique ,2 - 0, Italie,1988
Pays-Bas ,2 - 0, Union soviétique,1988
Suède ,1 – 1, France,1992
Danemark ,0 – 0, Angleterre,1992
Angleterre ,0 – 0, France,1992
Suède ,1 – 0, Danemark,1992
Suède ,2 – 1, Angleterre,1992
Danemark ,2 – 1, France,1992
Pays-Bas ,1 – 0, Écosse,1992
CEI ,1 – 1, Allemagne,1992
Allemagne ,2 – 0, Écosse,1992
Pays-Bas ,0 – 0, CEI,1992
Pays-Bas ,3 – 1, Allemagne,1992
Écosse ,3 – 0, CEI,1992
Suède ,2 - 3, Allemagne,1992
Danemark ,2 - 2  a. p., Pays-Bas,1992
Allemagne ,0 - 2, Danemark,1992
Angleterre ,1 - 1, Suisse,1996
Pays-Bas ,0 - 0, Écosse,1996
Suisse ,0 - 2, Pays-Bas,1996
Écosse ,0 - 2, Angleterre,1996
Écosse ,1 - 0, Suisse,1996
Pays-Bas ,1 - 4, Angleterre,1996
Espagne ,1 - 1, Bulgarie,1996
Roumanie ,0 - 1, France,1996
Bulgarie ,1 - 0, Roumanie,1996
France ,1 - 1, Espagne,1996
France ,3 - 1, Bulgarie,1996
Roumanie ,1 - 2, Espagne,1996
Allemagne ,2 - 0, Tchéquie,1996
Italie ,2 - 1, Russie,1996
Tchéquie ,2 - 1, Italie,1996
Russie ,0 - 3, Allemagne,1996
Russie ,3 - 3, Tchéquie,1996
Italie ,0 - 0, Allemagne,1996
Danemark ,1 - 1, Portugal,1996
Turquie ,0 - 1, Croatie,1996
Portugal ,1 - 0, Turquie,1996
Croatie ,3 - 0, Danemark,1996
Croatie ,0 - 3, Portugal,1996
Turquie ,0 - 3, Danemark,1996
Espagne ,0 - 0  a. p., Angleterre,1996
France ,0 - 0  a. p., Pays-Bas,1996
Allemagne ,2 - 1, Croatie,1996
Tchéquie ,1 - 0, Portugal,1996
France ,0 - 0  a. p., Tchéquie,1996
Allemagne ,1 - 1  a. p., Angleterre,1996
Allemagne ,2 – 1 a. p. , Tchéquie,1996
Allemagne ,1 - 1, Roumanie,2000
Portugal ,3 - 2, Angleterre,2000
Roumanie ,0 - 1, Portugal,2000
Angleterre ,1 - 0, Allemagne,2000
Angleterre ,2 - 3, Roumanie,2000
Portugal ,3 - 0, Allemagne,2000
Belgique ,2 - 1, Suède,2000
Turquie ,1 - 2, Italie,2000
Italie ,2 - 0, Belgique,2000
Suède ,0 - 0, Turquie,2000
Turquie ,2 - 0, Belgique,2000
Italie ,2 - 1, Suède,2000
Espagne ,0 - 1, Norvège,2000
RF Yougoslavie ,3 - 3, Slovénie,2000
Slovénie ,1 - 2, Espagne,2000
Norvège ,0 - 1, RF Yougoslavie,2000
RF Yougoslavie ,3 - 4, Espagne,2000
Slovénie ,0 - 0, Norvège,2000
France ,3 - 0, Danemark,2000
Pays-Bas ,1 - 0, Tchéquie,2000
Tchéquie ,1 - 2, France,2000
Danemark ,0 - 3, Pays-Bas,2000
Danemark ,0 - 2, Tchéquie,2000
France ,2 - 3, Pays-Bas,2000
Portugal ,2 - 0, Turquie,2000
Italie ,2 - 0, Roumanie,2000
Pays-Bas ,6 - 1, RF Yougoslavie,2000
 Espagne,1 - 2,France ,2000
 Portugal,1 - 2 a. p. ,France ,2000
Italie ,0 - 0  a. p., Pays-Bas,2000
France ,2 - 1 a. p. , Italie,2000
Portugal ,0 - 1, Grèce,2004
Portugal 1er groupe A,2 – 3, Allemagne2e groupe B,2008
Croatie 1er groupe B,1 – 1 a. p. (1 - 3) tab, Turquie2e groupe A,2008
Pays-Bas 1er groupe C,1 – 3 a. p., Russie2e groupe D,2008
Espagne 1er groupe D,0 – 0 a. p. (4 - 2) tab, Italie2e groupe C,2008
Allemagne ,3 – 2, Turquie,2008
Russie ,0 – 3, Espagne,2008
 Allemagne,0 – 1, Espagne,2008
Pologne ,1 - 1, Grèce,2012
Russie ,4 - 1, Tchéquie,2012
Grèce ,1 - 2, Tchéquie,2012
Pologne ,1 - 1, Russie,2012
Tchéquie ,1 - 0, Pologne,2012
Grèce ,1 - 0, Russie,2012
Tchéquie ,0 – 1, Portugal,2012
Allemagne ,4 – 2, Grèce,2012
Espagne ,2 – 0, France,2012
Angleterre ,0 – 0 a. p., Italie,2012
Portugal ,0 – 0 a. p., Espagne,2012
Allemagne ,1 – 2, Italie,2012
Espagne ,4 – 0, Italie,2012
France ,2 - 1, Roumanie,2016
